tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
"ஆப்ரிக்காவில் முதல் வர்த்தகரீதியான 3ஜி அறிமுகம், டபிள்யூ-சிடிஎம்ஏ தரமுறையில் மொரீசியஸ் எம்டெல் நிறுவனத்தால் செய்யப்பட்டது.","āprikkāvil mudhal varthagarīdhiyāṉa 3ji aṟimugam, ṭabiḷyū-chiḍiyemyē tharamuṟaiyil morīsiyas yemḍel niṟuvaṉathāl cheyyappaṭṭadhu."
திராவிடக் கட்டிடங்களில் நிலத்துக்கு மேல் அமைகின்ற முதல் உறுப்பு இது.,thirāviḍak kaṭṭiḍaṅgaḷil nilathukkŭ mēl amaigiṉḏra mudhal uṟuppŭ idhu.
இயற்பியலின் பல புதிய கண்டுபிடிப்புகள் பெரும்பாலான நேரங்களில் மற்ற அறிவியல் துறைகளில் அடிப்படை இயக்குவிசைகளை விளக்குவதாகவும் புதிய ஆய்வுப் பகுதிகளைத் திறப்பதாகவும் உள்ளது.,iyaṟpiyaliṉ pala pudhiya kaṇḍubiḍippugaḷ perumbālāṉa nēraṅgaḷil maṯṟa aṟiviyal thuṟaigaḷil aḍippaḍai iyakkuvisaigaḷai viḷakkuvadhāgavum pudhiya āyvup pagudhigaḷaith thiṟappadhāgavum uḷḷadhu.
கடலூர் மாவட்டம் 13 ஊராட்சி ஒன்றியங்களாக பிரிக்கப்பட்டுள்ளது.,kaḍalūr māvaṭṭam 13 ūrāṭchi oṉḏriyaṅgaḷāga pirikkappaṭṭuḷḷadhu.
இவரே மத்திய அமைச்சரவையின் தலைவராவார்.,ivarē mathiya amaicharavaiyiṉ thalaivarāvār.
ஒரு நேரத்தில் ஒருவர் மட்டுமே பயன்படுத்த முடியும்.,orŭ nērathil oruvar maṭṭumē payaṉbaḍutha muḍiyum.
"ஏ பாலிமரேசு மூலம், உருள் வட்ட நகலாக்கம் (rolling circle replication) என்னும் முறையில் மூலம் அச்செடுக்கப்படுவதால், அச்செடுக்கும் நிலையில் பல வகையான வடிவமைப்பு நிலைகளில் கணிமிகள் காணப்படும்.","yē pālimarēsŭ mūlam, uruḷ vaṭṭa nagalākkam (rolling circle replication) yeṉṉum muṟaiyil mūlam acheḍukkappaḍuvadhāl, acheḍukkum nilaiyil pala vagaiyāṉa vaḍivamaippŭ nilaigaḷil kaṇimigaḷ kāṇappaḍum."
"2005 ஆம் ஆண்டு வரை உலகில் பதினேழு நாடுகள் அதிக அளவில் யுரேனியத்தை செறிவுபடுத்தப்பட்ட யுரேனியம் ஆக்சைடாக தயாரிகின்றனர் அவற்றுள் கனடா(உலக உற்பத்தியில் 27.9%) மற்றும் ஆஸ்திரேலியா (22.8%) ஆகியவை பெரும்பாலான அளவிலும் கஜகஸ்தான் (10.5%), ரஷ்யா (8.0%), நமீபியா (7.5%), நைஜர் (7.4%), உஸ்பெகிஸ்தான் (5.5%), அமெரிக்கா (2.5%), அர்ஜென்டீனா (2.1%), உக்ரைன் (1.9%), சீனா (1.7%) குறிப்பிடத்தக்க அளவிலும் தயாரிக்கின்றனர்.","2005 ām āṇḍŭ varai ulagil padhiṉēzhŭ nāḍugaḷ adhiga aḷavil yurēṉiyathai cheṟivubaḍuthappaṭṭa yurēṉiyam ākchaiḍāga thayārigiṉḏraṉar avaṯṟuḷ kaṉaḍā(ulaga uṟpathiyil 27.9%) maṯṟum āsdhirēliyā (22.8%) āgiyavai perumbālāṉa aḷavilum kajagasdhāṉ (10.5%), rashyā (8.0%), namībiyā (7.5%), naijar (7.4%), usbegisdhāṉ (5.5%), amerikkā (2.5%), arjeṉḍīṉā (2.1%), ukraiṉ (1.9%), chīṉā (1.7%) kuṟippiḍathakka aḷavilum thayārikkiṉḏraṉar."
"வர்த்தரீதியான முதல் மூன்றாம் தலைமுறை வலையமைப்பு, மார்ச் 2003-ல் ""Three"" என்ற வர்த்தக பெயரில் ஹட்சஷன் டெலிகம்யூனிகேஷன்ஸ் நிறுவனத்தால் அறிமுகப்படுத்தப்பட்டது.","vartharīdhiyāṉa mudhal mūṉḏrām thalaimuṟai valaiyamaippu, mārch 2003-l ""Three"" yeṉḏra varthaga peyaril haṭchashaṉ ṭeligamyūṉigēshaṉs niṟuvaṉathāl aṟimugappaḍuthappaṭṭadhu."
வட அமெரிக்காவில் ஆலோவீனைப் பற்றிய கிருத்துவ பார்வையானது முற்றிலும் மாறுபடுகிறது.,vaḍa amerikkāvil ālōvīṉaip paṯṟiya kiruthuva pārvaiyāṉadhŭ muṯṟilum māṟubaḍugiṟadhu.
பெரும்பாலான தலைப்பு அட்டைகள் டாம் மற்றும் ஜெர்ரி ஒவ்வொன்றும் விருப்பு-வெறுப்பு உறவை விளக்குகின்றவாறு புன்னகை புரிவதாகக் காண்பிக்கப்படுகிறது.,perumbālāṉa thalaippŭ aṭṭaigaḷ ṭām maṯṟum jerri ovvoṉḏrum viruppu-veṟuppŭ uṟavai viḷakkugiṉḏravāṟŭ puṉṉagai purivadhāgak kāṇbikkappaḍugiṟadhu.
"கல்வெட்டுகளிலிருந்தும் 1980களின் அகழ்வாய்வுகளின்படியும் கோட்டைச் சுவர்கள், அரண்மனைகள், நடுவிலமைந்த கோயில் என கங்கைகொண்ட சோழபுரம் நன்கு திட்டமிட்டு அமைக்கப்பட்ட நகரமாக இருந்தது தெரியவருகிறது.","kalveṭṭugaḷilirundhum 1980kaḷiṉ agazhvāyvugaḷiṉbaḍiyum kōṭṭaich chuvargaḷ, araṇmaṉaigaḷ, naḍuvilamaindha kōyil yeṉa kaṅgaigoṇḍa chōzhaburam naṉgŭ thiṭṭamiṭṭŭ amaikkappaṭṭa nagaramāga irundhadhŭ theriyavarugiṟadhu."
ஆனால் சுரேந்திரா தொடர்புகள் போலியாக ஜோடிக்கப்பட்டவை என தொடர்ந்து மறுத்து வந்தார்.,āṉāl churēndhirā thoḍarbugaḷ pōliyāga jōḍikkappaṭṭavai yeṉa thoḍarndhŭ maṟuthŭ vandhār.
"இந்த பார்கின்சன்-பிளஸ் நோய்கள், பொதுவான நோய் மூலமறியா நடுக்குவாதத்தைக் காட்டிலும் துரிதமாகச் செயல்படுகின்றன.","indha pārgiṉsaṉ-piḷas nōygaḷ, podhuvāṉa nōy mūlamaṟiyā naḍukkuvādhathaik kāṭṭilum thuridhamāgach cheyalbaḍugiṉḏraṉa."
இதன் போட்டி விதிகள் வாலிபால் போன்றவை; ஆனால் கையால் பந்தை தொடமுடியாது.,idhaṉ pōṭṭi vidhigaḷ vālibāl pōṉḏravai; āṉāl kaiyāl pandhai thoḍamuḍiyādhu.
"முதன்மை உள்ளீட்டோடு தொடர்புடையதாக அமைதலால், பிற உள்ளீடுகள் சிறப்புப் பெறுகின்றன.","mudhaṉmai uḷḷīṭṭōḍŭ thoḍarbuḍaiyadhāga amaidhalāl, piṟa uḷḷīḍugaḷ chiṟappup peṟugiṉḏraṉa."
"இவர்களில் 50% ஆண்கள், 50% பெண்கள் ஆவார்கள்.","ivargaḷil 50% āṇgaḷ, 50% peṇgaḷ āvārgaḷ."
லாஸ் ஏஞ்சல்ஸின் மாவட்ட துணை நீதியரசர் கீட்டிங்கால் திருடப்பட்டவர்களுக்கு அவரிடமிருந்து நன்கொடையாகப் பெற்ற பணத்தை திரும்பக் கொடுக்கக் கோரி எழுதினார்.,lās yēnjalsiṉ māvaṭṭa thuṇai nīdhiyarasar kīṭṭiṅgāl thiruḍappaṭṭavargaḷukkŭ avariḍamirundhŭ naṉgoḍaiyāgap peṯṟa paṇathai thirumbak koḍukkak kōri yezhudhiṉār.
ஆயினும் அப்பாலை குழந்தை குடிக்க மறுத்தது.,āyiṉum appālai kuzhandhai kuḍikka maṟuthadhu.
உயிரிய உயிர்வளித் தேவையின் அளவு ஒரு லிட்டரில் எத்தணை மில்லிகிராம் எனக் கணக்கிடப்படுகிறது.,uyiriya uyirvaḷith thēvaiyiṉ aḷavŭ orŭ liṭṭaril yethaṇai milligirām yeṉak kaṇakkiḍappaḍugiṟadhu.
உண்மையாக கொலம்பசு அமெரிக்காவை அடைந்த முதல் மனிதர் இல்லை .,uṇmaiyāga kolambasŭ amerikkāvai aḍaindha mudhal maṉidhar illai .
"வாசுகோ நூனெசு டி பால்போவா ""தென்முனைப் பெருங்கடல் என அமைதிப் பெருங்கடலுக்கு அல்லது தென் அமைதிப் பெருங்கடலுக்குப் பெயரிட்டது தற்போது அருகிவிட்டது.","vāsugō nūṉesŭ ṭi pālbōvā ""theṉmuṉaip peruṅgaḍal yeṉa amaidhip peruṅgaḍalukkŭ alladhŭ theṉ amaidhip peruṅgaḍalukkup peyariṭṭadhŭ thaṟpōdhŭ arugiviṭṭadhu."
ஞாயிற்றுக்கிழமைகளில் இரவு 7:30 மணிக்கு ஒளிபரப்பாகும்.,ñāyiṯṟukkizhamaigaḷil iravŭ 7:30 maṇikkŭ oḷibarappāgum.
"கஜா இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் விஜயன், தீபா மற்றும் பலரும் நடித்துள்ளனர்.","kajā iyakkathil veḷivandha ithiraippaḍathil vijayaṉ, thībā maṯṟum palarum naḍithuḷḷaṉar."
"வாக்னர் இங்கு சிறிய கட்டுரைகள் மற்றும் நாவல்களான ""பேத்தோவனிற்கு ஒரு புனிதப் பயணம்"", தனது வளர்ந்து வரும் ""இசை நாடகம்"" மற்றும் ""பாரிசில் ஒரு முடிவு"" போன்றவைகளை எழுதி ஒரு எளிமையான வாழ்க்கையை வாழ்ந்தார்.","vākṉar iṅgŭ chiṟiya kaṭṭuraigaḷ maṯṟum nāvalgaḷāṉa ""pēthōvaṉiṟkŭ orŭ puṉidhap payaṇam"", thaṉadhŭ vaḷarndhŭ varum ""isai nāḍagam"" maṯṟum ""pārisil orŭ muḍivu"" pōṉḏravaigaḷai yezhudhi orŭ yeḷimaiyāṉa vāzhkkaiyai vāzhndhār."
இதனை நீர்ப்பற்றுக் கொண்ட இடங்களில் பயன்படுத்த முடியாது.,idhaṉai nīrppaṯṟuk koṇḍa iḍaṅgaḷil payaṉbaḍutha muḍiyādhu.
என்னவோ தன் மடியில் விழுந்து விட்டதே என்பதற்காக அதைச் சட்டென்று உதறிவிட தலை தரையில் விழ ஜயத்திரதனின் தந்தையின் தலை உடைகிறது.,yeṉṉavō thaṉ maḍiyil vizhundhŭ viṭṭadhē yeṉbadhaṟkāga adhaich chaṭṭeṉḏrŭ udhaṟiviḍa thalai tharaiyil vizha jayathiradhaṉiṉ thandhaiyiṉ thalai uḍaigiṟadhu.
"வீரமூட்டும் சக்தி அந்த நிலத்திற்கு இருப்பதை அறிந்து வியந்து, தமது பாட்டன் பாஞ்சாலன் நினைவாக பாஞ்சாலக்குறிச்சி கோட்டை என்று பெயரிட்டு கோட்டை கொத்தளங்களுடன் தலைநகர் அங்கு அமைக்கப்பட்டது.","vīramūṭṭum chakthi andha nilathiṟkŭ iruppadhai aṟindhŭ viyandhu, thamadhŭ pāṭṭaṉ pānjālaṉ niṉaivāga pānjālakkuṟichi kōṭṭai yeṉḏrŭ peyariṭṭŭ kōṭṭai kothaḷaṅgaḷuḍaṉ thalainagar aṅgŭ amaikkappaṭṭadhu."
"நெற்செய்கைக்கு சாதகமான 16,737 ஏக்கர் நிலத்தை இம் மாவட்டம் கொண்டுள்ளது.","neṟcheygaikkŭ chādhagamāṉa 16,737 yēkkar nilathai im māvaṭṭam koṇḍuḷḷadhu."
"முத்தையாபுரம் மக்களின் சராசரி கல்வியறிவு 70% ஆகும், இதில் ஆண்களின் கல்வியறிவு 74%, பெண்களின் கல்வியறிவு 66% ஆகும்.","muthaiyāburam makkaḷiṉ charāsari kalviyaṟivŭ 70% āgum, idhil āṇgaḷiṉ kalviyaṟivŭ 74%, peṇgaḷiṉ kalviyaṟivŭ 66% āgum."
வரலாற்றில் நீண்ட காலம் இப்பதவி இருந்தவர்களில் இரண்டாம் இடம் பிடித்தவர்.,varalāṯṟil nīṇḍa kālam ippadhavi irundhavargaḷil iraṇḍām iḍam piḍithavar.
"கலை நிகழ்ச்சிகளை முடித்துக் கொண்டு 1976 அக்டோபர் 11 இல் பம்பாய் வழியாக சென்னை திரும்புகையில், அவர்கள் பயணம் செய்த விமானம் தீப்பிடித்துக் கொண்டு விமானநிலயத்துக்கு அண்மையில் மோதி விபத்துக்குள்ளானது.","kalai nigazhchigaḷai muḍithuk koṇḍŭ 1976 akṭōbar 11 il pambāy vazhiyāga cheṉṉai thirumbugaiyil, avargaḷ payaṇam cheydha vimāṉam thīppiḍithuk koṇḍŭ vimāṉanilayathukkŭ aṇmaiyil mōdhi vibathukkuḷḷāṉadhu."
காய்ச்சலைக் குறைப்பதற்குப் பயன்படும் மருந்துகள் காய்ச்சலடக்கிகள் எனப்படுகின்றன.,kāychalaik kuṟaippadhaṟkup payaṉbaḍum marundhugaḷ kāychalaḍakkigaḷ yeṉappaḍugiṉḏraṉa.
கார்கில் மக்கள் தொகையில் 10% ஆறு வயதுக்குட்பட்டோர் ஆவார்கள்.,kārgil makkaḷ thogaiyil 10% āṟŭ vayadhukkuṭpaṭṭōr āvārgaḷ.
இச்சட்டம் உடமை உரிமைகள் பற்றியும் திருமணம் பற்றியும் விபரமான வரையறைகளைக் விபரிக்கின்றது.,ichaṭṭam uḍamai urimaigaḷ paṯṟiyum thirumaṇam paṯṟiyum vibaramāṉa varaiyaṟaigaḷaik vibarikkiṉḏradhu.
"அரபி மொழியில் அக்பர் என்றால் ""மிகப் பெரிய"" என்று பொருள்.","arabi mozhiyil akpar yeṉḏrāl ""migap periya"" yeṉḏrŭ poruḷ."
"எடுத்துக்காட்டாக, C என்னும் கணத்தை C = {4, 7, 9} என்று குறிப்பர்.","yeḍuthukkāṭṭāga, C yeṉṉum kaṇathai C = {4, 7, 9} yeṉḏrŭ kuṟippar."
அவரது வைல் ஈ.,avaradhŭ vail ī.
இது முன்னர் ஒருங்கிணைந்த இந்தியாவில் பஞ்சாப் மாகாணத்தில் ஹிசார் மாவட்டத்தின் ஒரு பகுதியாகும்.,idhŭ muṉṉar oruṅgiṇaindha indhiyāvil panjāp māgāṇathil hisār māvaṭṭathiṉ orŭ pagudhiyāgum.
"16வது வயதில் சிறு கதைகளும், நாடகங்களும் எழுத ஆரம்பித்தார்.","16vadhŭ vayadhil chiṟŭ kadhaigaḷum, nāḍagaṅgaḷum yezhudha ārambithār."
பின்னர் 1929 இல் சோவியத்தின் தனியான குடியரசாக ஆக்கப்பட்டது.,piṉṉar 1929 il chōviyathiṉ thaṉiyāṉa kuḍiyarasāga ākkappaṭṭadhu.
பட்டு ஐயர் மற்றும் பலரும் நடித்திருந்தனர்.,paṭṭŭ aiyar maṯṟum palarum naḍithirundhaṉar.
மிகப் பழைய காலத்திலிருந்தே இந்நகரில் தென்னிந்தியர்களே பெருமளவில் வாழ்ந்து வந்ததாகத் தெரிகின்றது.,migap pazhaiya kālathilirundhē innagaril theṉṉindhiyargaḷē perumaḷavil vāzhndhŭ vandhadhāgath therigiṉḏradhu.
அதில் கிராசி வால்வெள்ளி புவியில் இருந்து நிலையான தொலைவுள்ள பெருவட்டத்தில் இயங்கும் நெருப்பு வான்பொருளாகும் எனும் முடிவை வெளியிட்டிருந்தார்.,adhil kirāsi vālveḷḷi puviyil irundhŭ nilaiyāṉa tholaivuḷḷa peruvaṭṭathil iyaṅgum neruppŭ vāṉboruḷāgum yeṉum muḍivai veḷiyiṭṭirundhār.
இவர் ஒரு ஆசிரியராகத் தொழில் புரிந்தார்.,ivar orŭ āsiriyarāgath thozhil purindhār.
இதன் மூலம் ஒருவரிடமும் வேறுபாடில்லாமல் தான-தருமங்களை செய்ய சமுதாயம் அறிவுறுத்தப்படுகின்றது.,idhaṉ mūlam oruvariḍamum vēṟubāḍillāmal thāṉa-tharumaṅgaḷai cheyya chamudhāyam aṟivuṟuthappaḍugiṉḏradhu.
"இறுதியில் பாரம்பரியமிக்க இப்பெயரானது, இரசியாவின் தெற்கிலுள்ள ஒரு பகுதிக்குச் சூட்டப்பட்டது.","iṟudhiyil pārambariyamikka ippeyarāṉadhu, irasiyāviṉ theṟkiluḷḷa orŭ pagudhikkuch chūṭṭappaṭṭadhu."
மீ.,mī.
இது சிலைக்குப் பின்னணியாக இருக்கும்படி அமைந்திருக்கும்.,idhŭ chilaikkup piṉṉaṇiyāga irukkumbaḍi amaindhirukkum.
"ஒரு வாரத்தின் பின்பு, விளக்க மறியலில் இருந்தவர்களில் மூவர் வழக்கிலிருந்து விடுவிக்கப்பட்டனர்.","orŭ vārathiṉ piṉbu, viḷakka maṟiyalil irundhavargaḷil mūvar vazhakkilirundhŭ viḍuvikkappaṭṭaṉar."
இத்தகைய கலப்பிரிவு இருகூற்றுப்பிளவு (Binary fission) எனப்படும்.,ithagaiya kalappirivŭ irugūṯṟuppiḷavŭ (Binary fission) yeṉappaḍum.
எம்.,yem.
அதில் அவர்களை ஆக்கிரமிப்பாளருக்கு எதிராக ஒன்றுபடுமாறு அவர்களை வேண்டிக்கொண்டார்.,adhil avargaḷai ākkiramippāḷarukkŭ yedhirāga oṉḏrubaḍumāṟŭ avargaḷai vēṇḍikkoṇḍār.
15 ஆண்டுகளுக்கு முன்பு பியரியும் அவரது சகோதரரும் எலேக்ட்ரோமீட்டர் என்னும் ஒரு கருவியை மேம்படுத்தியிருந்தனர்.,15 āṇḍugaḷukkŭ muṉbŭ piyariyum avaradhŭ chagōdhararum yelēkṭrōmīṭṭar yeṉṉum orŭ karuviyai mēmbaḍuthiyirundhaṉar.
அனைத்து தாவரங்களும் டி.என்.ஏ பொதிந்துள்ள உட் கருக்கள் கொண்ட பலகல உயிரினங்களாகும் .,aṉaithŭ thāvaraṅgaḷum ṭi.yeṉ.yē podhindhuḷḷa uṭ karukkaḷ koṇḍa palagala uyiriṉaṅgaḷāgum .
சென்னையில் உள்ள யானை கோயிலில் இப்படிப்பட்ட இசைத் தூண்களுக்கு நல்ல எடுத்துக்காட்டு.,cheṉṉaiyil uḷḷa yāṉai kōyilil ippaḍippaṭṭa isaith thūṇgaḷukkŭ nalla yeḍuthukkāṭṭu.
"கல்வி முறையில், நாடு முழுவதும் பின்பற்றப்படும் 6-3-3-4 அமைப்பு பின்பற்றப்படுகிறது ஆரம்ப நிலை, இளையோர் இரண்டாம் நிலை (JSS), மூத்தோர் இரண்டாம் நிலை (SSS), பல்கலைக் கழகம் போன்ற நிலைகள் உள்ளன.","kalvi muṟaiyil, nāḍŭ muzhuvadhum piṉbaṯṟappaḍum 6-3-3-4 amaippŭ piṉbaṯṟappaḍugiṟadhŭ āramba nilai, iḷaiyōr iraṇḍām nilai (JSS), mūthōr iraṇḍām nilai (SSS), palgalaik kazhagam pōṉḏra nilaigaḷ uḷḷaṉa."
அகராதி போல் வேண்டும் சொற்களுக்கு உடனே பொருள் அறியும் வசதி இல்லாதவையாக நிகண்டுகள் இருந்தன.,agarādhi pōl vēṇḍum choṟkaḷukkŭ uḍaṉē poruḷ aṟiyum vasadhi illādhavaiyāga nigaṇḍugaḷ irundhaṉa.
அப்பிள்ளைக்கு ஐந்து வயது வந்தபொழுது பள்ளியிற் கல்வி பயிலவைத்தார்.,appiḷḷaikkŭ aindhŭ vayadhŭ vandhabozhudhŭ paḷḷiyiṟ kalvi payilavaithār.
சோழவந்தானில் 1000 ஆண்களுக்கு 1022 பெண்கள் உள்ளனர்.,chōzhavandhāṉil 1000 āṇgaḷukkŭ 1022 peṇgaḷ uḷḷaṉar.
"பின்னர் கடனுக்கு ஒரு கடையை வாங்கி வியாபாரத்தில் தோற்றுப்போனார், அடுத்து ஓர் அஞ்சலகத்தில் அஞ்சல்காரராகப் பணியாற்றினார்.","piṉṉar kaḍaṉukkŭ orŭ kaḍaiyai vāṅgi viyābārathil thōṯṟuppōṉār, aḍuthŭ ōr anjalagathil anjalgārarāgap paṇiyāṯṟiṉār."
தூயநிலையில் தேன் போதிய உயர் சர்க்கரை உள்ளடக்கம் கொண்டு நொதித்தலை தடுக்கும் தன்மையை கொண்டுள்ளது.,thūyanilaiyil thēṉ pōdhiya uyar charkkarai uḷḷaḍakkam koṇḍŭ nodhithalai thaḍukkum thaṉmaiyai koṇḍuḷḷadhu.
"1979 ஆம் ஆண்டில் நடைபெற்ற மூன்று பகுதிகளுக்கான லீக் ஆட்டத்தில் அவர்கள் இணைந்து, 1989 ஆம் ஆண்டில் வடமேற்கு பெண்கள் வட்டார கால்பந்து லீக்கின் உருவாக்க உறுப்பினர்களாயினர்.","1979 ām āṇḍil naḍaibeṯṟa mūṉḏrŭ pagudhigaḷukkāṉa līk āṭṭathil avargaḷ iṇaindhu, 1989 ām āṇḍil vaḍamēṟkŭ peṇgaḷ vaṭṭāra kālbandhŭ līkkiṉ uruvākka uṟuppiṉargaḷāyiṉar."
கதாஃபி ஆப்பிரிக்க ஒன்றியத்தின் தலைவராக 2009 பெப்ரவரி 2 முதல் 2010 சனவரி 31 வரை இருந்தார்.,kadhāஃbi āppirikka oṉḏriyathiṉ thalaivarāga 2009 pepravari 2 mudhal 2010 chaṉavari 31 varai irundhār.
மேலும் அன்னை தெரேசாவால் ஏற்கப்பட்ட சில நன்கொடைகள் வந்த விதமும் விமர்சனத்துக்குள்ளாயின.,mēlum aṉṉai therēsāvāl yēṟkappaṭṭa chila naṉgoḍaigaḷ vandha vidhamum vimarsaṉathukkuḷḷāyiṉa.
"இவரின் கருத்துக்கள் பொதுவுடமைவாதிகளையும், சோசலிசவாதிகளையும் எதிர்ப்பதாகவும், ஸ்ட்ரோமப்டேலுங் ""எஸ் ஏ"" அமைப்பினரை ஆதரிப்பதாகவும் அமைந்தன.","ivariṉ karuthukkaḷ podhuvuḍamaivādhigaḷaiyum, chōsalisavādhigaḷaiyum yedhirppadhāgavum, sṭrōmapṭēluṅ ""yes yē"" amaippiṉarai ādharippadhāgavum amaindhaṉa."
சி.,chi.
இவர்களில் 68 பேர் பொது மக்கள்.,ivargaḷil 68 pēr podhŭ makkaḷ.
"1948, ஜனவரி 30 இல் இரண்டாவது முறையாக மாரடைப்பு ஏற்பட்டு ஆர்வில் ரைட் காலமானார்.","1948, jaṉavari 30 il iraṇḍāvadhŭ muṟaiyāga māraḍaippŭ yēṟpaṭṭŭ ārvil raiṭ kālamāṉār."
வரும் பிறவிகளில் செயல்படப் போவது இவ்வினைப்பயனே.,varum piṟavigaḷil cheyalbaḍap pōvadhŭ ivviṉaippayaṉē.
"ஆணையங்கள் நுகர்வோரின் நண்பனாக மாவட்டம், மாநிலம் மற்றும் தேசிய ஆணையங்கள் செயல்படுகின்றன.","āṇaiyaṅgaḷ nugarvōriṉ naṇbaṉāga māvaṭṭam, mānilam maṯṟum thēsiya āṇaiyaṅgaḷ cheyalbaḍugiṉḏraṉa."
"இவற்றில் பகர, வகர வேறுபாடுகளைத் தெளிவாக வட்டெழுத்தில் அறிய முடியாதது ஒரு பெருங்குறையாகும்.","ivaṯṟil pagara, vagara vēṟubāḍugaḷaith theḷivāga vaṭṭezhuthil aṟiya muḍiyādhadhŭ orŭ peruṅguṟaiyāgum."
தோண்ட் எஸ்தன் லாஸ் லாட்ரொனெஸ் ?,thōṇṭ yesdhaṉ lās lāṭroṉes ?
தினைப்புணத்தை மகளிர் காவல் காத்து வந்தனர்.,thiṉaippuṇathai magaḷir kāval kāthŭ vandhaṉar.
"தொடக்கத்தில், பி.ஓ.எஸ் வங்கியின் தலைமையகமாக வடிவமைக்கப்பட்ட இக்கட்டிடம் பின்னர் ""கப்பிட்டல்லாண்ட்"" நிறுவனத்தின் பெயருக்கு மாற்றப்பட்டது.","thoḍakkathil, pi.ō.yes vaṅgiyiṉ thalaimaiyagamāga vaḍivamaikkappaṭṭa ikkaṭṭiḍam piṉṉar ""kappiṭṭallāṇṭ"" niṟuvaṉathiṉ peyarukkŭ māṯṟappaṭṭadhu."
"ஆண்டின் சராசரியாக, இடி மின்னலுடன் கூடிய மழை, வசந்த மற்றும் கோடைக் காலங்களில் இருக்கும்.","āṇḍiṉ charāsariyāga, iḍi miṉṉaluḍaṉ kūḍiya mazhai, vasandha maṯṟum kōḍaik kālaṅgaḷil irukkum."
"அதனால், பாரதியார் அவரது பாட்டியான பாகீரதி அம்மாளிடம் வளர்ந்தார்.","adhaṉāl, pāradhiyār avaradhŭ pāṭṭiyāṉa pāgīradhi ammāḷiḍam vaḷarndhār."
அரபிய மூவலந்தீவின் நடுவில் அமைந்த ரியாத் சவுதி அரேபியாவின் ரியாத் மாகாணத்தின் தலைநகரம் ஆகும்.,arabiya mūvalandhīviṉ naḍuvil amaindha riyāth chavudhi arēbiyāviṉ riyāth māgāṇathiṉ thalainagaram āgum.
"1976 ஆம் ஆண்டளவில் ஈரோஸ் அமைப்பை லண்டனில் நிறுவிய இவர், பாலஸ்தீன விடுதலை இயக்கம் - ஆபிரிக்க தேசிய காங்கிரஸ் போன்ற விடுதலை அமைப்புகளுடனான உறவுகளை பேணி வந்தார்.","1976 ām āṇḍaḷavil īrōs amaippai laṇḍaṉil niṟuviya ivar, pālasdhīṉa viḍudhalai iyakkam - ābirikka thēsiya kāṅgiras pōṉḏra viḍudhalai amaippugaḷuḍaṉāṉa uṟavugaḷai pēṇi vandhār."
நார்வேயில் 431 நகராட்சிகள் உள்ளன (2006).,nārvēyil 431 nagarāṭchigaḷ uḷḷaṉa (2006).
"தொடர்ந்து இடை விடாது கேட்கும் சத்தம் காரணமாக நம் உடல் சோர்வடைகிறது, அதனால் உபத்திரவம் அடைந்து முன் கோபம், அல்லல்படுதல், அதிகமான மன அழுத்தம், மிகையான உளைச்சல் அல்லது அயர்வு, டின்னிடஸ், கேட்கும் திறனில் குறைபாடு, சரியான உறக்கம் இல்லாய்மை போன்ற பாதிப்புகளுடன் இதர உடல் நலக்குறைவுகளும் ஏற்படலாம்.","thoḍarndhŭ iḍai viḍādhŭ kēṭkum chatham kāraṇamāga nam uḍal chōrvaḍaigiṟadhu, adhaṉāl ubathiravam aḍaindhŭ muṉ kōbam, allalbaḍudhal, adhigamāṉa maṉa azhutham, migaiyāṉa uḷaichal alladhŭ ayarvu, ṭiṉṉiḍas, kēṭkum thiṟaṉil kuṟaibāḍu, chariyāṉa uṟakkam illāymai pōṉḏra pādhippugaḷuḍaṉ idhara uḍal nalakkuṟaivugaḷum yēṟpaḍalām."
இதற்கு முன் டுமான்ட் தன பல நிகழ்ச்சிகளுக்கு வழங்குவோர்களைக் கண்டுபிடிக்க மிகவும் சிரமப்பட்டது மற்றும் சின்ன சின்ன நேர அளவுகளை பல வியாபார நிறுவனங்களுக்கு விற்று ஈடு கட்டுகிறது.,idhaṟkŭ muṉ ṭumāṉṭ thaṉa pala nigazhchigaḷukkŭ vazhaṅguvōrgaḷaik kaṇḍubiḍikka migavum chiramappaṭṭadhŭ maṯṟum chiṉṉa chiṉṉa nēra aḷavugaḷai pala viyābāra niṟuvaṉaṅgaḷukkŭ viṯṟŭ īḍŭ kaṭṭugiṟadhu.
வெற்றியாளர்களை தொடர்ச்சியாக தேர்ந்தெடுக்க உதவும் தீர்ப்பை அனுமதிக்கின்றன.,veṯṟiyāḷargaḷai thoḍarchiyāga thērndheḍukka udhavum thīrppai aṉumadhikkiṉḏraṉa.
விண்கற்கள் பொதுவாக பாறைஅளவு அல்லது அதனினும் சிறியவை.,viṇgaṟkaḷ podhuvāga pāṟaiaḷavŭ alladhŭ adhaṉiṉum chiṟiyavai.
பெரும்பாலும் பூமியிலுள்ள துருவ மண்டலங்களில் காணப்படுகின்றன.,perumbālum pūmiyiluḷḷa thuruva maṇḍalaṅgaḷil kāṇappaḍugiṉḏraṉa.
