english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
He studied in Los Angeles.,லாஸ் ஏஞ்சலீசில் கல்வி பயின்றார்.,lās yēnjalīsil kalvi payiṉḏrār.,los angelesle padichaar,los angelesle padichaaru
The two are dancing opposite.,இருவர் ஜோடியாக நடனம் ஆடுகின்றனர்.,iruvar jōḍiyāga naḍaṉam āḍugiṉḏraṉar.,rendu perum jodiya aadaraanga,rendu perum jodiya aaduranga
Music -related research is carried out.,இசை சம்பந்தமான ஆராய்ச்சிகள் மேற்கொள்ளப்படுகின்றன.,isai chambandhamāṉa ārāychigaḷ mēṟkoḷḷappaḍugiṉḏraṉa.,isai sambandamana aaraychi nadakkuthu,isai related-ah aaraychi poittuirukku
Poons are very popular in the world.,உலகில் பூரான்கள் மிகப்பரவலாகக் காணப்படுகின்றன.,ulagil pūrāṉgaḷ migapparavalāgak kāṇappaḍugiṉḏraṉa.,ulagile pooranga neraiye irukkuthu,ulagaththula puuran neraiye irukku
"However, he never ate beef.",இருப்பினும் அவர் மாட்டிறைச்சியை சாப்பிட்டதில்லை.,iruppiṉum avar māṭṭiṟaichiyai chāppiṭṭadhillai.,irundhaalum avaru maattukari saappittadhille,irundhaalum avaru maathikari saapittadhila
The end of the last place.,இறுதியாக தொடங்கிய இடத்திலேயே முடிகின்றது.,iṟudhiyāga thoḍaṅgiya iḍathilēyē muḍigiṉḏradhu.,kadaisiya thodangina edathiliye mudiyudhu,kadaisiya aarambhicha edathiliye mudiyudhu
The film received positive criticism.,இப்படம் நேர்மறையான விமர்சனத்தைப் பெற்றது.,ippaḍam nērmaṟaiyāṉa vimarsaṉathaip peṯṟadhu.,indhapadaththukku nalla vimarsanam vanthichu,indha padaththuku nalla reviews vandhuchu
He worked for them to be confident.,அவர்களுக்கு தன்னம்பிக்கை ஏற்பட உழைத்தார்.,avargaḷukkŭ thaṉṉambikkai yēṟpaḍa uzhaithār.,avangalukku thannambikkai kodukka ozhaichaar,avangalukku thannambikkai kodukka ozhaichaaru
This is the present note.,இது தற்பொழுது உள்ள குறிப்பு.,idhŭ thaṟpozhudhŭ uḷḷa kuṟippu.,idhu ippo irukkura kurippu,idhu ippo irikka kurippu
PF5 is a colorless gas.,PF5 ஒரு நிறமற்ற வாயுவாகும்.,PF5 orŭ niṟamaṯṟa vāyuvāgum.,PF5 oru niramilladha vayu,PF5 oru colorless gas
The new Dhanushkodi is currently being created.,தற்போது புதிய தனுஷ்கோடி உருவாக்கப்படுகிறது.,thaṟpōdhŭ pudhiya thaṉushgōḍi uruvākkappaḍugiṟadhu.,ippo puthu thanushkodi kattappaduthu,ippo puthu thanushkodi katturanga
This is the first film in South India.,தென்னிந்தியாவின் முதல் திரைப்படம் இதுதான்.,theṉṉindhiyāviṉ mudhal thiraippaḍam idhudhāṉ.,then indiavode modhe padam idhudhaan,then india-oda 1st padam idhudhaan
Babett supported Obama.,பபெட் ஒபாமாவிற்கு ஆதரவு வழங்கினார்.,pabeṭ obāmāviṟkŭ ādharavŭ vazhaṅgiṉār.,buffet obamavukku adharavu koduththaar,buffet obhaamaavukku adharavu koduththaaru
Used as English as Administrative Language.,ஆங்கிலம் நிர்வாக மொழியாகப் பயன்படுத்தப்பட்டது.,āṅgilam nirvāga mozhiyāgap payaṉbaḍuthappaṭṭadhu.,aangilam aluvalaga mozhiye payanpattuchi,english offical language-a payanpattuchi
"Thus, the relationship with the United States was affected.","இதனால், அமெரிக்காவுடனான உறவு பாதிக்கப்பட்டது.","idhaṉāl, amerikkāvuḍaṉāṉa uṟavŭ pādhikkappaṭṭadhu.",idhanaala americavoda uravu paadhikkapattuchi,idhanaala america-voda uravu paadhikkapattuchi
"Of these, Goa is in the forefront.",இவற்றுள் கோவா முன்னணியில் இருக்கிறது.,ivaṯṟuḷ kōvā muṉṉaṇiyil irukkiṟadhu.,idhula gova munnadi irukkuthu,idhula goa-dhan munnadi irukku
Its capital is Thepasar.,இதன் தலைநகரம் தென்பசார் என்பதாகும்.,idhaṉ thalainagaram theṉbasār yeṉbadhāgum.,idhoda thalainagaram thenpasaar,idhoda thalainagaram thenpasaar
4.km from the headquarters to the southeast.,தலைவாசலில் இருந்து தென்கிழக்கில் 4.கி.மீ.,thalaivāsalil irundhŭ theṉgizhakkil 4.ki.mī.,thalavasalile irundhu thenkizhakkule 4 kilometeru,thalaivasala irundhu thenkizhakkule 4 kilometeru
It is then discharged as heat.,பின்னர் இது வெப்பச்சக்தியாக வெளியேற்றப்படுகிறது.,piṉṉar idhŭ veppachakthiyāga veḷiyēṯṟappaḍugiṟadhu.,appuram idhu veppama veliyaeruthu,appuram idhu veppama veliya poguthu
Caste period is the most popular time.,சாதிதோன்றிய காலம் மிகத்தொன்மைக் காலமாகும்.,chādhidhōṉḏriya kālam migathoṉmaik kālamāgum.,saathi uruvaana kaalam romba pazhaiye kaalam,saathi vandha kaalamlam rombha pazhaiye kaalam
2 is the father of children.,2 பிள்ளைகளின் தந்தை ஆவார்.,2 piḷḷaigaḷiṉ thandhai āvār.,rendu pillaingalukku appa avaru,rendu kuzhandhaiku appa avaru
I try to explain as far as I know.,எனக்குத் தெரிந்தவரை விளக்க முயற்சிக்கிறேன்.,yeṉakkuth therindhavarai viḷakka muyaṟchikkiṟēṉ.,enakku therinjamaathiri vilakkame solren,enakku therinja maari vilakkama soldren
Cotton is a good cash crop.,பருத்தி ஒரு நல்ல பணப்பயிர்.,paruthi orŭ nalla paṇappayir.,paruthi oru panappayiru,paruthi oru nalla panappayiru
Mannar also caused great damage.,மன்னாரிலும் பெரும் சேதம் ஏற்பட்டது.,maṉṉārilum perum chēdham yēṟpaṭṭadhu.,mannaariliyum neraiye saedharam ayiruchi,mannarilayum nalla saedharam aagiducham
Gandhi survived.,காந்தி எக்காயமுமின்றி உயிர் தப்பினார்.,kāndhi yekkāyamumiṉḏri uyir thappiṉār.,gandhi endha gayamum illaama uyir polaichaar,gandhi endha gayam illama uyir polaichaaru
Then he joined Congress again.,பின்னர் மீண்டும் காங்கிரஸில் இணைந்தார்.,piṉṉar mīṇḍum kāṅgirasil iṇaindhār.,apporam marupadiyum congressle serndhaar,apporam marupadiyum congressle serndhaaru
A lot of lakes are artificially built.,நிறைய ஏரிகள் செயற்கையாக கட்டப்படுகின்றன.,niṟaiya yērigaḷ cheyaṟkaiyāga kaṭṭappaḍugiṉḏraṉa.,neraiye eringa seyarkkiye kattapaduthu,neriye eringa-lam seyarkkaiya katturanga
MGR played a double role.,எம்.ஜி.ஆர் இரட்டை வேடத்தில் நடித்தார்.,yem.ji.ār iraṭṭai vēḍathil naḍithār.,MGR rettai vesathille nadichaar,MGR double act pannirkaaru
The results changed because he guided.,அவர் வழிகாட்டியபடியால் முடிவுகள் மாறின.,avar vazhigāṭṭiyabaḍiyāl muḍivugaḷ māṟiṉa.,avaru solpadi mudivunga maarichi,avaru sonnapadi mudivulaam maariduchu
Music is Tamil.,இதில் இசை என்பது தமிழிசையாகும்.,idhil isai yeṉbadhŭ thamizhisaiyāgum.,idhule isai-ngurathu thamizhilisaithaan,idhule isai-ngurathu thamizhilisaithaan
The number of heroes is listed here.,மாவீரர்களின் எண்ணிக்கைகள் இங்கு பட்டியலிடப்படுகின்றன.,māvīrargaḷiṉ yeṇṇikkaigaḷ iṅgŭ paṭṭiyaliḍappaḍugiṉḏraṉa.,maaveerargaloda kanakku inge pattiyal potturukkaanga,maaveeratgaloda kanakku inge list-u pottrukkaanga
There are no differences.,இதற்கு அங்க வித்தியாசங்கள் இல்லை.,idhaṟkŭ aṅga vithiyāsaṅgaḷ illai.,idukku udambubaagam vithiyaasam ille,idukku angalaam vithiyaasam ille
His time was not sure.,இவரின் காலமும் உறுதியாகத் தெரியாகவில்லை.,ivariṉ kālamum uṟudhiyāgath theriyāgavillai.,ivaru vazhngdha kaalam seriye theriyale,ivaroda vazhngdha kaalamlaam seriye theriyale
"This is called ""balance price.""","இது ""சமநிலை விலை"" எனப்படுகிறது.","idhŭ ""chamanilai vilai"" yeṉappaḍugiṟadhu.",idhu sarisamamana vilai-nu sollappaduthu,idhu sarisamamaana velai-nu soldraanga
The event can take place in two ways.,இந்நிகழ்வு இரு வழிகளில் நடைபெறலாம்.,innigazhvŭ irŭ vazhigaḷil naḍaibeṟalām.,indha nigalchi rendu vazhiyale nadakkalaam,indha incident rendu vazhiya nadakkalaam
They had three children.,இவர்களுக்கு மூன்று பிள்ளைகள் பிறந்தனர்.,ivargaḷukkŭ mūṉḏrŭ piḷḷaigaḷ piṟandhaṉar.,ivangalukku moonu pillainga poranthaanga,ivangalukku moonu kolandhainga porandhuchu
Launched in 1908.,1908 ஆம் ஆண்டு தொடங்கப்பட்டது.,1908 ām āṇḍŭ thoḍaṅgappaṭṭadhu.,1908le thodangappattuchi,1908le start pannaanga
Gangai Amaran is the composer of the film.,இத்திரைப்படத்திற்கு இசையமைத்தவர் கங்கை அமரன்.,ithiraippaḍathiṟkŭ isaiyamaithavar kaṅgai amaraṉ.,indha padaththukku  isaiamaichavar gangai amaran,indha padaththukku music pottavaru gangai amaran
He was a symbol of the protesters.,அவர் போராட்டக்காரர்களின் சின்னமாக விளங்கினார்.,avar pōrāṭṭakkārargaḷiṉ chiṉṉamāga viḷaṅgiṉār.,avaru porattakaaranga mugamaa irundhaar,avaru poraattakaarargaloda mugamaa irundhaaru
His wife's name is Jeeva.,இவருடைய மனைவியின் பெயர் ஜீவா.,ivaruḍaiya maṉaiviyiṉ peyar jīvā.,ivaroda pondatti peru Jeeva,ivaru wife peru Jeeva
He started writing poems at that time.,அவ்வாண்டிலேயே கவிதைகள் எழுதத் தொடங்கினார்.,avvāṇḍilēyē kavidhaigaḷ yezhudhath thoḍaṅgiṉār.,andhavarusamey kavithainga ezhudha arambichaar,andhavarusamey kavithai-laam ezhudha arambichaaru
The President of the Republic is the country's head.,குடியரசுத் தலைவரே நாட்டின் தலைவராவார்.,kuḍiyarasuth thalaivarē nāṭṭiṉ thalaivarāvār.,janadhipadhidhaan nattoda thalaivar,janaadhipadhi dhan naattoda thalaivaraam
He was then transferred to Delhi Prison.,பிறகு தில்லி சிறைக்கு மாற்றப்பட்டார்.,piṟagŭ thilli chiṟaikkŭ māṯṟappaṭṭār.,apporam  delli seraikku maththitaanga,apporam delli jail-ku maththitaanga
His body was not identified.,அவரது உடலும் அடையாளம் காணப்படவில்லை.,avaradhŭ uḍalum aḍaiyāḷam kāṇappaḍavillai.,avaradhu udambum adaiyaalam kandupidikkamudiyillae,avuroda odambhum adaiyaalam kandupidikka mudiyale
He was also a great lecturer.,இவர் சிறந்த சொற்பொழிவாளராகவும் இருந்தார்.,ivar chiṟandha choṟpozhivāḷarāgavum irundhār.,ivaru nalla pechchaalar,ivaru nalla peschchaalar
It was made up of six children.,இது ஆறு குழந்தைகளாக உருப்பெற்றது.,idhŭ āṟŭ kuzhandhaigaḷāga uruppeṯṟadhu.,idhu aaru kozhandhaingale maarichi,idha aaru kozhandhaiya maariduchu
The eye is taxwriting.,கண்ணால் காண்பது வரிவடிவ எழுத்து.,kaṇṇāl kāṇbadhŭ varivaḍiva yezhuthu.,kanaale paarkkarathu  varivadivamaana ezhuthu,kanaale paarkkarathu  varivadivamaana ezhuthu
Brown did not understand the reason.,பிரௌனுக்கு அதற்கான காரணம் விளங்கவில்லை.,pirauṉukkŭ adhaṟkāṉa kāraṇam viḷaṅgavillai.,brownukku athukkaana kaaranam theiriyele,brown-kku athukkaana kaaranam theriyala
It is raining less.,மேலும் குறைவாகவே மழை பெய்கிறது.,mēlum kuṟaivāgavē mazhai peygiṟadhu.,athukkumele kammiyethaan mazha  paeyuthu,athukku apporam kammiya dhan mazha paeyuthu
He established a uniform administrative system.,சீரான நிருவாக முறையை ஏற்படுத்தினார்.,chīrāṉa niruvāga muṟaiyai yēṟpaḍuthiṉār.,nalla nirvaagatha amaichaar,nalla nirvaagatha amaichaaru
He should not fight for them.,அவற்றுக்காக அவன் வாழ்நாள்முழுக்கப் போராடக்கூடாது.,avaṯṟukkāga avaṉ vāzhnāḷmuzhukkap pōrāḍakkūḍādhu.,athukkaga avan vaazhkka mulusum pooradakoodadhu,athukkaga avan life full-aa poraada kudaadhu
Abutra went to town.,ஆபுத்திரன் ஊர் ஊராகச் சென்றான்.,ābuthiraṉ ūr ūrāgach cheṉḏrāṉ.,aabuthiran ooru oora poonaan,aabuthiran ooru oora poonaru
Gongudan is worth the price in trees.,மரங்களில் கோங்குதான் விலை மதிப்புடையது.,maraṅgaḷil kōṅgudhāṉ vilai madhippuḍaiyadhu.,kongu maram romba velai mathippanadhu,kongu maram dhan romba vilai jaasthi
All other invaders are educated.,மற்ற அனைத்து படையெடுப்பாளர்களும் படித்தவர்கள்.,maṯṟa aṉaithŭ paḍaiyeḍuppāḷargaḷum paḍithavargaḷ.,matha ella padaiyeduthavangalum nalla padichavanga,matha ella padaiyeduthavangalaam nalla padichavanga
The biggest earthquake occurred in the depths.,ஆழத்தில் பெரிய நிலநடுக்கம் நிகழ்ந்தது.,āzhathil periya nilanaḍukkam nigazhndhadhu.,azhaththule periye nelanadukkam nadandhuchi,azhaththule periye nelanadukkam vandhuchu
Kapillar is singing this.,இதனைக் கபிலர் சிறப்பித்துப் பாடுகின்றார்.,idhaṉaik kabilar chiṟappithup pāḍugiṉḏrār.,adhai kabilar nallavidhame solli padunaar,adha kabilar nallavidhama padunaaru
He was imprisoned in Jodhpur.,அவர் ஜோத்பூர் சிறையில் அடைக்கப்பட்டார்.,avar jōthpūr chiṟaiyil aḍaikkappaṭṭār.,avare jothppoor sirayile adaichaanga,avara jothpoor jail-aa adachitaanga
The temple was built in the 13th century.,இக்கோவில் 13-ஆம் நூற்றாண்டில் கட்டப்பட்டது.,ikkōvil 13-ām nūṯṟāṇḍil kaṭṭappaṭṭadhu.,indhakoyile 13-m nooththaandule kattunaanga,indhakoyile 13-am noottraandule kattunaangalaam
The homework is not known.,வீட்டு வேலை எதுவும் தெரியாது.,vīṭṭŭ vēlai yedhuvum theriyādhu.,veettu vela edhuvum theiryadhu,veettu vela edhuvum theriyadhu
Read the 12th chapter first.,முதலில் 12வது அத்தியாயத்தை வாசியுங்கள்.,mudhalil 12vadhŭ athiyāyathai vāsiyuṅgaḷ.,modhalle 12-m athiyaayathai padinga,modhalle 12-am athiyaayathai padinga
This war is one of your duties.,இந்தப்போர் உன்னுடைய கடமைகளில் ஒன்று.,indhappōr uṉṉuḍaiya kaḍamaigaḷil oṉḏru.,indhasandai oon kadamaiyile onnu,indha poor uon kadamaiyile onnu
Hampi is located on the banks of the Tungapatra river.,"ஹம்பி, துங்கபத்திரை ஆற்றங்கரையில் அமைந்துள்ளது.","hambi, thuṅgabathirai āṯṟaṅgaraiyil amaindhuḷḷadhu.",hambi thungabathira aththooram irukku,hambi thungabathira aththooram irukku
"Indonesia has 17,508 islands.","இந்தோனேசியா 17,508 தீவுகளை உடையது.","indhōṉēsiyā 17,508 thīvugaḷai uḍaiyadhu.","indhonesiye 17,508 theevunga sernthadhu","indhonesiya - la 17,508 theevunga irukku"
Each of the soul has 4 lines.,ஒவ்வொருசெய்யுளும் 4 வரிகள் உடையது.,ovvoruseyyuḷum 4 varigaḷ uḍaiyadhu.,ovvoru seyyulum 4 varinga irukkum,ovvoru seiyyullayumm 4 vari irukkum
This rat lives in the house.,இந்த எலி வீட்டில் வாழ்பவை.,indha yeli vīṭṭil vāzhbavai.,indha eli veetulle vazhradhu,indha eli veetulle vazhradhu
This is all the strange from him.,அவனிடமிருந்தே விந்தையான இவ்வனைத்தும் தோன்றியுள்ளன.,avaṉiḍamirundhē vindhaiyāṉa ivvaṉaithum thōṉḏriyuḷḷaṉa.,avankitta irundhudhaan vithiyaasamaana ellam  uruvaachi,avankitta irundhudhaan ellam vithiyaasamaa uruvaachi
The main food of the tuber tuber.,மரவள்ளிக் கிழங்கு முக்கிய உணவு.,maravaḷḷik kizhaṅgŭ mukkiya uṇavu.,maravalli  kizhangu mukkiyamaana saappaadu,maravalli  kizhangu mukkiyamaana saappaadu
Thoothukudi district is low.,தூத்துக்குடி மாவட்டத்தில் காட்டுவளம் குறைவே.,thūthukkuḍi māvaṭṭathil kāṭṭuvaḷam kuṟaivē.,thuthukudi mavattathule kaattuvalam kammi,thuthukudile kaatuvelam kammi
"Karna, Duryodhana's close friend.","கர்ணன், துரியோதனனின் உற்ற நண்பன்.","karṇaṉ, thuriyōdhaṉaṉiṉ uṯṟa naṇbaṉ.",karnan dhuriyodhananoda nalla nanban,karnan dhuriyodhanan-oda uyir nanban
Emerman is furious and tilted down.,எமதர்மன் மூர்ச்சையாகி கீழே சாய்கின்றார்.,yemadharmaṉ mūrchaiyāgi kīzhē chāygiṉḏrār.,yemadharma mayakkam pottu keezhe vizhundhaar,yemadharma mayangi keezhe vizhundhaaru
At first they knew that these were atoms.,முதலில் இவை அணுக்கள் என்று அறிந்தனர்.,mudhalil ivai aṇukkaḷ yeṉḏrŭ aṟindhaṉar.,mudhalle ithai anukkalnu kandupudichaanga,mudhalle idhulaam anukkal-nu kandupidichaanga
The tower of the temple is 46 meters high.,கோயிலின் கோபுரம் 46 மீட்டர் உயரமுள்ளது.,kōyiliṉ kōburam 46 mīṭṭar uyaramuḷḷadhu.,koyiloda kopuram 46 meeter osaramaanadhu,koyiloda kopuram 46 meter-u height
Cell means 12.,கலம் என்றால் 12 என்று பொருள்.,kalam yeṉḏrāl 12 yeṉḏrŭ poruḷ.,kalam appadeena 12-nu arththam,kalam appadeena 12-nu arththam
Two people born with Pederico.,பெடெரிக்கோ  உடன் பிறந்தவர்கள் இருவர்.,peḍerikkō ஃbeliṉiyuḍaṉ uḍaṉ piṟandhavargaḷ iruvar.,pederikko kooda poranthavanga rendu per,pederikko kooda poranthavanga rendu peru
The dargah here depends on the 14th century AD.,இங்குள்ள தர்கா கி.பி.14ம் நூற்றாண்டைச் சார்ந்தது.,iṅguḷḷa thargā ki.pi.14m nūṯṟāṇḍaich chārndhadhu.,ingaitukkura darka keepi 14m nooththaandule kattunadhu,inga irukka darga keepi 14-am nooththaandule kattunadhu
Sathiyamangalam lived in the forest.,சத்தியமங்கலம் காட்டுப் பகுதியில் மறைந்து வாழ்ந்தார்.,chathiyamaṅgalam kāṭṭup pagudhiyil maṟaindhŭ vāzhndhār.,sathiyamangalam kaatulle maranju irundhaar,sathiyamangalam kaatulle maranju irundhaaru
The Mariamman Temple is located in the center of the village.,இக்கிராமத்தின் மையப்பகுதியில் மாரியம்மன் கோவில் உள்ளது.,ikkirāmathiṉ maiyappagudhiyil māriyammaṉ kōvil uḷḷadhu.,indhagiraamathoda naduvulle maariyamman koyil irukku,indha village-ku naduvulle maariyamman koyil irukku
He went back to Tamil Nadu in 1863.,1863 மார்கழியில் மீண்டும் தமிழகம் சென்றார்.,1863 mārgazhiyil mīṇḍum thamizhagam cheṉḏrār.,1863 maargazhi maasam parupadiyum  thamizhnaadu ponaar,1863 maargazhi maasam thirumba thamizhnaadu-ku ponaaru
The rain is coming at midnight.,மழை கொட்டித் தீர்த்த நள்ளிரவில் வருகிறான்.,mazhai koṭṭith thīrtha naḷḷiravil varugiṟāṉ.,mazha paenju onja naduraaththiri varaan,mazha paenju onja naduraaththiri varaan
What is the characteristic of survival?,இப்படி உயிர் வாழ்வது என்ன பண்பு?,ippaḍi uyir vāzhvadhŭ yeṉṉa paṇbu?,ippadi pozhaikkarathu enna pazhakkam?,ippadi vazhndhu enna pazhakkam?
This is agility; The plants are eaten.,இவ்வினம் சுறுசுறுப்பானது; செடிகளை உண்ணும் குணமுடையது.,ivviṉam chuṟusuṟuppāṉadhu; cheḍigaḷai uṇṇum kuṇamuḍaiyadhu.,indha enam surusuruppa irukkum;seiyellam saappidum,"indha enam surusuruppa irukkum, chediyelaam saapidum"
There are two airports in Kuala Lumpur.,கோலாலம்பூரில் இரண்டு வானூர்தி நிலையங்கள் உள்ளன.,kōlālambūril iraṇḍŭ vāṉūrdhi nilaiyaṅgaḷ uḷḷaṉa.,kolalamboorle rendu vimaananilaiyam irukku,kolalamboorle rendu airport irukku
They worked in the fields and received a daily diet.,வயல்களில் வேலைசெய்து அன்றாட உணவைப் பெற்றார்கள்.,vayalgaḷil vēlaiseydhŭ aṉḏrāḍa uṇavaip peṯṟārgaḷ.,vayalile velai senju annadam saappuduvaanga,vayalle velai paathu anaiki saapu saapiduvanga
Only 70 of these are in the case today.,இவற்றில் 70 மட்டுமே இன்று வழக்கிலுள்ளது.,ivaṯṟil 70 maṭṭumē iṉḏrŭ vazhakkiluḷḷadhu.,idhule 70 mattumdhaan ippo pazhakkaththulle irukku,idhule 70 dhan ippo vazhakkaththule irukku
Waves are a deeply explored material by scientists.,அலைகள் விஞ்ஞானிகளால் ஆழ ஆராயப்பட்ட பொருள்.,alaigaḷ viññāṉigaḷāl āzha ārāyappaṭṭa poruḷ.,alainga vinnanigalale adhigame aaraichi seyyappattadhu,alaingale scientist-aale adhigama aarachi seyyappattuchu
"Each of these is called ""tuition"".","இவை ஒவ்வொன்றும் ""சீர்"" என அழைக்கப்படுகின்றது.","ivai ovvoṉḏrum ""chīr"" yeṉa azhaikkappaḍugiṉḏradhu.","idhu ovvonnum ""seer""-nu sollappadudhu","idhu ovvonnum ""seer""-nu solluvaanga"
So he received many enemies.,அதனால் அவர் பல எதிரிகளை பெற்றார்.,adhaṉāl avar pala yedhirigaḷai peṯṟār.,adanaale avaru neraiye ethiringala uruvaakittaar,adanaale avaru neraiye ethiringala uruvaakittaaru
This is the largest volume in the world.,இதுவே உலகிலேயே மிகப்பெரிய தொகுதியாகும்.,idhuvē ulagilēyē migapperiya thogudhiyāgum.,idhudhaan ulagathiliye periya thogudhi,idhudhaan ulagathule periya thogudhi
Mosquitoes are not affected by this.,இதன் காரணத்தினால் கொசுக்கள் பாதிக்கப்படுவதில்லை.,idhaṉ kāraṇathiṉāl kosukkaḷ IRSṉāl pādhikkappaḍuvadhillai.,indha kaaranaththanaala  kosungalukku paathippille,idhu-naaladhan kosukkalukku onnum aaguradhile
Two of these classes are completely disappeared.,இவற்றில் இரண்டு வகுப்புகள் முற்றிலும் அற்றுப்போய்விட்டன.,ivaṯṟil iraṇḍŭ vaguppugaḷ muṯṟilum aṯṟuppōyviṭṭaṉa.,idule rendu vaguppunga mulusaa azhinjupochu,idhule rendu class-um complete-aa ilaama poochu
This is where the famous spic fertilizer is located.,இங்குதான் பிரபல ஸ்பிக் உரத்தொழிற்சாலை உள்ளது.,iṅgudhāṉ pirabala sbik urathozhiṟchālai uḷḷadhu.,ingadhaan  pirabalamaana spic aalai irukku,inga dhan famous-aana spic factory irukku
It is a great magic that disappeared.,அது மறைந்ததோ பெரும் மாயமாக உள்ளது.,adhŭ maṟaindhadhō perum māyamāga uḷḷadhu.,adhu maranjadhu periya athisayamaa irukku,adha kaanaamapoi periya adhisayamaa irukku
The Babylonian literature is still being practiced.,பாபிலோனிய இலக்கியங்கள் இன்றளவிலும் பயிலப்பட்டு வருகின்றன.,pābilōṉiya ilakkiyaṅgaḷ iṉḏraḷavilum payilappaṭṭŭ varugiṉḏraṉa.,pabiloniya ilakkiyanga innaikkum padikkappattuvarudhu,babiloniya ilakkiyangal-lam innaikum padikkuraanga
Especially not to eat the cow.,குறிப்பாக மாட்டை உண்ண வேண்டாம் என்கிறது.,kuṟippāga māṭṭai uṇṇa vēṇḍām yeṉgiṟadhu.,kurippa maattai saappida venanggiradhu,mukkiyamaa maattai saapida venaangiraanga
Punjab has the best transport structure.,பஞ்சாப் சிறந்த போக்குவரத்துக் கட்டமைப்பைக் கொண்டுள்ளது.,panjāp chiṟandha pōkkuvarathuk kaṭṭamaippaik koṇḍuḷḷadhu.,puunjable saalaiyellam nallaa irukkum,punjable road-laam nallaam irukkum
Yaman is accepted as the God of death in Buddhism.,யமன் பௌத்தத்தில் இறப்பின் கடவுளாகவே ஏற்றுக்கொள்ளப்படுகிறார்.,yamaṉ pauthathil iṟappiṉ kaḍavuḷāgavē yēṯṟukkoḷḷappaḍugiṟār.,yeman buddha mathathile saavukkaduvula irukkaar,yeman buddha mathathule maranathin kadavulaa irukkaru
He is an Islamist,இவர் ஒரு இசுலாமியர் ஆவார்,ivar orŭ isulāmiyar āvār,ivaru oru muslimu,ivaru oru muslimu
"In the event of death rituals, the scarf will not be struck.","மரணச் சடங்குகள் நிகழ்ந்தால், பறைமேளம் அடிப்பதில்லை.","maraṇach chaḍaṅgugaḷ nigazhndhāl, paṟaimēḷam aḍippadhillai.",saavuveetulle kaariyam nadanthuchunne parai adikkamaattaanga,saavu veetle kaariyam nadakurappo parai adikkamaattanga
The song is the edit of the song composed by Sundaranar.,இப்பாடல் சுந்தரனார் இயற்றிய பாடலின் திருத்தமேயாகும்.,ippāḍal chundharaṉār iyaṯṟiya pāḍaliṉ thiruthamēyāgum.,indha paattu sundaranaar ezhudhuna pattoda thiruththam,indha paattu sundaranaar ezhudhuna pattoda thiruththam
Qatar was also released in September.,செப்டெம்பர் மாதத்தில் கத்தாரும் விடுதலை பெற்றது.,chepṭembar mādhathil kathārum viḍudhalai peṯṟadhu.,september maasam kattarum suthanthiram vaangichi,september maasaththule kattarum viduthalaiyaachu
"In the later years, it is called Muthu Nagar.",பின்னாட்களில் முத்து நகர் என்று அழைக்கப்படுகிறது.,piṉṉāṭkaḷil muthŭ nagar yeṉḏrŭ azhaikkappaḍugiṟadhu.,piinaadi muthu nagar-nu aachu,koncha naal apporam muthu nagar-nu sonnanga
She went to see the Lord.,அம்மையார் இறைவனைக் காணக் கயிலாயம் சென்றார்.,ammaiyār iṟaivaṉaik kāṇak kayilāyam cheṉḏrār.,andha amma saamiye paakka kailaasam ponanga,andha amma saamiye paakka kailaasam poitaanga
"He created the book ""Manioghi"".","""மணிமொழி"" என்னும் நூல்நிலையத்தை உருவாக்கினார்.","""maṇimozhi"" yeṉṉum nūlnilaiyathai uruvākkiṉār.",manimozhi-ngra noolagaththai arambichaanga,manimozhi-ngra library arambichaaru
See personal articles for more information.,மேலும் தகவலுக்கு தனிப்பட்ட கட்டுரைகளைக் காண்க.,mēlum thagavalukkŭ thaṉippaṭṭa kaṭṭuraigaḷaik kāṇga.,mela adiga thagavalukku thaniye katturaingalai paarunga,inum neriye thagavalukku thaniye katturaingalai paarunga
He is widely worshiped in Tibet and Mongolia.,இவர் திபெத்திலும் மங்கோலியாவிலும் பரவலாக வணங்கப்படுகின்றார்.,ivar thibethilum maṅgōliyāvilum paravalāga vaṇaṅgappaḍugiṉḏrār.,ivaru tibeththuliyum mangoliyavuliyum adigamaa  kumbidapadaraar,ivaru tibet-thilaiyum mangoliya-layum adigamaa  kumbidapadaraaru
It belongs to the Kanchipuram Lok Sabha constituency.,இது காஞ்சிபுரம் மக்களவைத் தொகுதியில் அடங்கியுள்ளது.,idhŭ kānjiburam makkaḷavaith thogudhiyil aḍaṅgiyuḷḷadhu.,idhu kaanjipuram makkalavaithoguthiyile irukku,idhu kaanjipuram makkalavaithoguthiyile irukku
Potatoes can be cultivated in all the soil.,உருளைக்கிழங்கை வளமுள்ள எல்லா மண்ணிலும் பயிரிடலாம்.,uruḷaikkizhaṅgai vaḷamuḷḷa yellā maṇṇilum payiriḍalām.,urulaikizhange nall irukkira ella mannuliyum vilaikkalaam,urulaikizhange nalla irukkura ella mannulayum valakkalaam
"Biomass will result in humanity. ""","உயிரியாயுதம் மனித இனத்திற்கே பெருங்கேடு விளைவிக்கும்.""","uyiriyāyudham maṉidha iṉathiṟkē peruṅgēḍŭ viḷaivikkum.""",uyirayudham manusa kulathikke periye naasam pannum,uyirayudham manusa kulathikke periye aabaththu tharum
