english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
This is the first film in South India.,தென்னிந்தியாவின் முதல் திரைப்படம் இதுதான்.,thennindhiyaavin mudhal thiraippadam idhudhaan.,then indiavode modhe padam idhudhaan,then india-oda 1st padam idhudhaan
Babett supported Obama.,பபெட் ஒபாமாவிற்கு ஆதரவு வழங்கினார்.,pabet obaamaavirku aadharavu vazhanginaar.,buffet obamavukku adharavu koduththaar,buffet obhaamaavukku adharavu koduththaaru
Used as English as Administrative Language.,ஆங்கிலம் நிர்வாக மொழியாகப் பயன்படுத்தப்பட்டது.,aangilam nirvaaga mozhiyaagap payanbaduthappattadhu.,aangilam aluvalaga mozhiye payanpattuchi,english offical language-a payanpattuchi
"Thus, the relationship with the United States was affected.","இதனால், அமெரிக்காவுடனான உறவு பாதிக்கப்பட்டது.","idhanaal, amerikkaavudanaana uravu paadhikkappattadhu.",idhanaala americavoda uravu paadhikkapattuchi,idhanaala america-voda uravu paadhikkapattuchi
"Of these, Goa is in the forefront.",இவற்றுள் கோவா முன்னணியில் இருக்கிறது.,ivatrul kovaa munnaniyil irukkiradhu.,idhula gova munnadi irukkuthu,idhula goa-dhan munnadi irukku
Its capital is Thepasar.,இதன் தலைநகரம் தென்பசார் என்பதாகும்.,idhan thalainagaram thenbasaar enbadhaagum.,idhoda thalainagaram thenpasaar,idhoda thalainagaram thenpasaar
4.km from the headquarters to the southeast.,தலைவாசலில் இருந்து தென்கிழக்கில் 4.கி.மீ.,thalaivaasalil irundhu thengizhakkil 4.ki.mee.,thalavasalile irundhu thenkizhakkule 4 kilometeru,thalaivasala irundhu thenkizhakkule 4 kilometeru
It is then discharged as heat.,பின்னர் இது வெப்பச்சக்தியாக வெளியேற்றப்படுகிறது.,pinnar idhu veppachakthiyaaga veliyaetrappadugiradhu.,appuram idhu veppama veliyaeruthu,appuram idhu veppama veliya poguthu
Caste period is the most popular time.,சாதிதோன்றிய காலம் மிகத்தொன்மைக் காலமாகும்.,chaadhidhondriya kaalam migathonmaik kaalamaagum.,saathi uruvaana kaalam romba pazhaiye kaalam,saathi vandha kaalamlam rombha pazhaiye kaalam
2 is the father of children.,2 பிள்ளைகளின் தந்தை ஆவார்.,2 pillaigalin thandhai aavaar.,rendu pillaingalukku appa avaru,rendu kuzhandhaiku appa avaru
I try to explain as far as I know.,எனக்குத் தெரிந்தவரை விளக்க முயற்சிக்கிறேன்.,enakkuth therindhavarai vilakka muyarchikkiraen.,enakku therinjamaathiri vilakkame solren,enakku therinja maari vilakkama soldren
Cotton is a good cash crop.,பருத்தி ஒரு நல்ல பணப்பயிர்.,paruthi oru nalla panappayir.,paruthi oru panappayiru,paruthi oru nalla panappayiru
Mannar also caused great damage.,மன்னாரிலும் பெரும் சேதம் ஏற்பட்டது.,mannaarilum perum chaedham aerpattadhu.,mannaariliyum neraiye saedharam ayiruchi,mannarilayum nalla saedharam aagiducham
Gandhi survived.,காந்தி எக்காயமுமின்றி உயிர் தப்பினார்.,kaandhi ekkaayamumindri uyir thappinaar.,gandhi endha gayamum illaama uyir polaichaar,gandhi endha gayam illama uyir polaichaaru
Then he joined Congress again.,பின்னர் மீண்டும் காங்கிரஸில் இணைந்தார்.,pinnar meendum kaangirasil inaindhaar.,apporam marupadiyum congressle serndhaar,apporam marupadiyum congressle serndhaaru
A lot of lakes are artificially built.,நிறைய ஏரிகள் செயற்கையாக கட்டப்படுகின்றன.,niraiya aerigal cheyarkaiyaaga kattappadugindrana.,neraiye eringa seyarkkiye kattapaduthu,neriye eringa-lam seyarkkaiya katturanga
MGR played a double role.,எம்.ஜி.ஆர் இரட்டை வேடத்தில் நடித்தார்.,em.ji.aar irattai vaedathil nadithaar.,MGR rettai vesathille nadichaar,MGR double act pannirkaaru
The results changed because he guided.,அவர் வழிகாட்டியபடியால் முடிவுகள் மாறின.,avar vazhigaattiyabadiyaal mudivugal maarina.,avaru solpadi mudivunga maarichi,avaru sonnapadi mudivulaam maariduchu
Music is Tamil.,இதில் இசை என்பது தமிழிசையாகும்.,idhil isai enbadhu thamizhisaiyaagum.,idhule isai-ngurathu thamizhilisaithaan,idhule isai-ngurathu thamizhilisaithaan
The number of heroes is listed here.,மாவீரர்களின் எண்ணிக்கைகள் இங்கு பட்டியலிடப்படுகின்றன.,maaveerargalin ennikkaigal ingu pattiyalidappadugindrana.,maaveerargaloda kanakku inge pattiyal potturukkaanga,maaveeratgaloda kanakku inge list-u pottrukkaanga
There are no differences.,இதற்கு அங்க வித்தியாசங்கள் இல்லை.,idharku anga vithiyaasangal illai.,idukku udambubaagam vithiyaasam ille,idukku angalaam vithiyaasam ille
His time was not sure.,இவரின் காலமும் உறுதியாகத் தெரியாகவில்லை.,ivarin kaalamum urudhiyaagath theriyaagavillai.,ivaru vazhngdha kaalam seriye theriyale,ivaroda vazhngdha kaalamlaam seriye theriyale
"This is called ""balance price.""","இது ""சமநிலை விலை"" எனப்படுகிறது.","idhu ""chamanilai vilai"" enappadugiradhu.",idhu sarisamamana vilai-nu sollappaduthu,idhu sarisamamaana velai-nu soldraanga
The event can take place in two ways.,இந்நிகழ்வு இரு வழிகளில் நடைபெறலாம்.,innigazhvu iru vazhigalil nadaiberalaam.,indha nigalchi rendu vazhiyale nadakkalaam,indha incident rendu vazhiya nadakkalaam
They had three children.,இவர்களுக்கு மூன்று பிள்ளைகள் பிறந்தனர்.,ivargalukku moondru pillaigal pirandhanar.,ivangalukku moonu pillainga poranthaanga,ivangalukku moonu kolandhainga porandhuchu
Launched in 1908.,1908 ஆம் ஆண்டு தொடங்கப்பட்டது.,1908 aam aandu thodangappattadhu.,1908le thodangappattuchi,1908le start pannaanga
Gangai Amaran is the composer of the film.,இத்திரைப்படத்திற்கு இசையமைத்தவர் கங்கை அமரன்.,ithiraippadathirku isaiyamaithavar kangai amaran.,indha padaththukku  isaiamaichavar gangai amaran,indha padaththukku music pottavaru gangai amaran
He was a symbol of the protesters.,அவர் போராட்டக்காரர்களின் சின்னமாக விளங்கினார்.,avar poraattakkaarargalin chinnamaaga vilanginaar.,avaru porattakaaranga mugamaa irundhaar,avaru poraattakaarargaloda mugamaa irundhaaru
His wife's name is Jeeva.,இவருடைய மனைவியின் பெயர் ஜீவா.,ivarudaiya manaiviyin peyar jeevaa.,ivaroda pondatti peru Jeeva,ivaru wife peru Jeeva
He started writing poems at that time.,அவ்வாண்டிலேயே கவிதைகள் எழுதத் தொடங்கினார்.,avvaandilaeyae kavidhaigal ezhudhath thodanginaar.,andhavarusamey kavithainga ezhudha arambichaar,andhavarusamey kavithai-laam ezhudha arambichaaru
The President of the Republic is the country's head.,குடியரசுத் தலைவரே நாட்டின் தலைவராவார்.,kudiyarasuth thalaivarae naattin thalaivaraavaar.,janadhipadhidhaan nattoda thalaivar,janaadhipadhi dhan naattoda thalaivaraam
He was then transferred to Delhi Prison.,பிறகு தில்லி சிறைக்கு மாற்றப்பட்டார்.,piragu thilli chiraikku maatrappattaar.,apporam  delli seraikku maththitaanga,apporam delli jail-ku maththitaanga
His body was not identified.,அவரது உடலும் அடையாளம் காணப்படவில்லை.,avaradhu udalum adaiyaalam kaanappadavillai.,avaradhu udambum adaiyaalam kandupidikkamudiyillae,avuroda odambhum adaiyaalam kandupidikka mudiyale
He was also a great lecturer.,இவர் சிறந்த சொற்பொழிவாளராகவும் இருந்தார்.,ivar chirandha chorpozhivaalaraagavum irundhaar.,ivaru nalla pechchaalar,ivaru nalla peschchaalar
It was made up of six children.,இது ஆறு குழந்தைகளாக உருப்பெற்றது.,idhu aaru kuzhandhaigalaaga uruppetradhu.,idhu aaru kozhandhaingale maarichi,idha aaru kozhandhaiya maariduchu
The eye is taxwriting.,கண்ணால் காண்பது வரிவடிவ எழுத்து.,kannaal kaanbadhu varivadiva ezhuthu.,kanaale paarkkarathu  varivadivamaana ezhuthu,kanaale paarkkarathu  varivadivamaana ezhuthu
Brown did not understand the reason.,பிரௌனுக்கு அதற்கான காரணம் விளங்கவில்லை.,piraunukku adharkaana kaaranam vilangavillai.,brownukku athukkaana kaaranam theiriyele,brown-kku athukkaana kaaranam theriyala
It is raining less.,மேலும் குறைவாகவே மழை பெய்கிறது.,maelum kuraivaagavae mazhai peygiradhu.,athukkumele kammiyethaan mazha  paeyuthu,athukku apporam kammiya dhan mazha paeyuthu
He established a uniform administrative system.,சீரான நிருவாக முறையை ஏற்படுத்தினார்.,cheeraana niruvaaga muraiyai aerpaduthinaar.,nalla nirvaagatha amaichaar,nalla nirvaagatha amaichaaru
He should not fight for them.,அவற்றுக்காக அவன் வாழ்நாள்முழுக்கப் போராடக்கூடாது.,avatrukkaaga avan vaazhnaalmuzhukkap poraadakkoodaadhu.,athukkaga avan vaazhkka mulusum pooradakoodadhu,athukkaga avan life full-aa poraada kudaadhu
Abutra went to town.,ஆபுத்திரன் ஊர் ஊராகச் சென்றான்.,aabuthiran oor ooraagach chendraan.,aabuthiran ooru oora poonaan,aabuthiran ooru oora poonaru
Gongudan is worth the price in trees.,மரங்களில் கோங்குதான் விலை மதிப்புடையது.,marangalil kongudhaan vilai madhippudaiyadhu.,kongu maram romba velai mathippanadhu,kongu maram dhan romba vilai jaasthi
All other invaders are educated.,மற்ற அனைத்து படையெடுப்பாளர்களும் படித்தவர்கள்.,matra anaithu padaiyeduppaalargalum padithavargal.,matha ella padaiyeduthavangalum nalla padichavanga,matha ella padaiyeduthavangalaam nalla padichavanga
The biggest earthquake occurred in the depths.,ஆழத்தில் பெரிய நிலநடுக்கம் நிகழ்ந்தது.,aazhathil periya nilanadukkam nigazhndhadhu.,azhaththule periye nelanadukkam nadandhuchi,azhaththule periye nelanadukkam vandhuchu
Kapillar is singing this.,இதனைக் கபிலர் சிறப்பித்துப் பாடுகின்றார்.,idhanaik kabilar chirappithup paadugindraar.,adhai kabilar nallavidhame solli padunaar,adha kabilar nallavidhama padunaaru
He was imprisoned in Jodhpur.,அவர் ஜோத்பூர் சிறையில் அடைக்கப்பட்டார்.,avar jothpoor chiraiyil adaikkappattaar.,avare jothppoor sirayile adaichaanga,avara jothpoor jail-aa adachitaanga
The temple was built in the 13th century.,இக்கோவில் 13-ஆம் நூற்றாண்டில் கட்டப்பட்டது.,ikkovil 13-aam nootraandil kattappattadhu.,indhakoyile 13-m nooththaandule kattunaanga,indhakoyile 13-am noottraandule kattunaangalaam
The homework is not known.,வீட்டு வேலை எதுவும் தெரியாது.,veettu vaelai edhuvum theriyaadhu.,veettu vela edhuvum theiryadhu,veettu vela edhuvum theriyadhu
Read the 12th chapter first.,முதலில் 12வது அத்தியாயத்தை வாசியுங்கள்.,mudhalil 12vadhu athiyaayathai vaasiyungal.,modhalle 12-m athiyaayathai padinga,modhalle 12-am athiyaayathai padinga
This war is one of your duties.,இந்தப்போர் உன்னுடைய கடமைகளில் ஒன்று.,indhappor unnudaiya kadamaigalil ondru.,indhasandai oon kadamaiyile onnu,indha poor uon kadamaiyile onnu
Hampi is located on the banks of the Tungapatra river.,"ஹம்பி, துங்கபத்திரை ஆற்றங்கரையில் அமைந்துள்ளது.","hambi, thungabathirai aatrangaraiyil amaindhulladhu.",hambi thungabathira aththooram irukku,hambi thungabathira aththooram irukku
"Indonesia has 17,508 islands.","இந்தோனேசியா 17,508 தீவுகளை உடையது.","indhonaesiyaa 17,508 theevugalai udaiyadhu.","indhonesiye 17,508 theevunga sernthadhu","indhonesiya - la 17,508 theevunga irukku"
Each of the soul has 4 lines.,ஒவ்வொருசெய்யுளும் 4 வரிகள் உடையது.,ovvoruseyyulum 4 varigal udaiyadhu.,ovvoru seyyulum 4 varinga irukkum,ovvoru seiyyullayumm 4 vari irukkum
This rat lives in the house.,இந்த எலி வீட்டில் வாழ்பவை.,indha eli veettil vaazhbavai.,indha eli veetulle vazhradhu,indha eli veetulle vazhradhu
This is all the strange from him.,அவனிடமிருந்தே விந்தையான இவ்வனைத்தும் தோன்றியுள்ளன.,avanidamirundhae vindhaiyaana ivvanaithum thondriyullana.,avankitta irundhudhaan vithiyaasamaana ellam  uruvaachi,avankitta irundhudhaan ellam vithiyaasamaa uruvaachi
The main food of the tuber tuber.,மரவள்ளிக் கிழங்கு முக்கிய உணவு.,maravallik kizhangu mukkiya unavu.,maravalli  kizhangu mukkiyamaana saappaadu,maravalli  kizhangu mukkiyamaana saappaadu
Thoothukudi district is low.,தூத்துக்குடி மாவட்டத்தில் காட்டுவளம் குறைவே.,thoothukkudi maavattathil kaattuvalam kuraivae.,thuthukudi mavattathule kaattuvalam kammi,thuthukudile kaatuvelam kammi
"Karna, Duryodhana's close friend.","கர்ணன், துரியோதனனின் உற்ற நண்பன்.","karnan, thuriyodhananin utra nanban.",karnan dhuriyodhananoda nalla nanban,karnan dhuriyodhanan-oda uyir nanban
Emerman is furious and tilted down.,எமதர்மன் மூர்ச்சையாகி கீழே சாய்கின்றார்.,emadharman moorchaiyaagi keezhae chaaygindraar.,yemadharma mayakkam pottu keezhe vizhundhaar,yemadharma mayangi keezhe vizhundhaaru
At first they knew that these were atoms.,முதலில் இவை அணுக்கள் என்று அறிந்தனர்.,mudhalil ivai anukkal endru arindhanar.,mudhalle ithai anukkalnu kandupudichaanga,mudhalle idhulaam anukkal-nu kandupidichaanga
The tower of the temple is 46 meters high.,கோயிலின் கோபுரம் 46 மீட்டர் உயரமுள்ளது.,koyilin koburam 46 meettar uyaramulladhu.,koyiloda kopuram 46 meeter osaramaanadhu,koyiloda kopuram 46 meter-u height
Cell means 12.,கலம் என்றால் 12 என்று பொருள்.,kalam endraal 12 endru porul.,kalam appadeena 12-nu arththam,kalam appadeena 12-nu arththam
Two people born with Pederico.,பெடெரிக்கோ  உடன் பிறந்தவர்கள் இருவர்.,pederikko  udan pirandhavargal iruvar.,pederikko kooda poranthavanga rendu per,pederikko kooda poranthavanga rendu peru
The dargah here depends on the 14th century AD.,இங்குள்ள தர்கா கி.பி.14ம் நூற்றாண்டைச் சார்ந்தது.,ingulla thargaa ki.pi.14m nootraandaich chaarndhadhu.,ingaitukkura darka keepi 14m nooththaandule kattunadhu,inga irukka darga keepi 14-am nooththaandule kattunadhu
Sathiyamangalam lived in the forest.,சத்தியமங்கலம் காட்டுப் பகுதியில் மறைந்து வாழ்ந்தார்.,chathiyamangalam kaattup pagudhiyil maraindhu vaazhndhaar.,sathiyamangalam kaatulle maranju irundhaar,sathiyamangalam kaatulle maranju irundhaaru
The Mariamman Temple is located in the center of the village.,இக்கிராமத்தின் மையப்பகுதியில் மாரியம்மன் கோவில் உள்ளது.,ikkiraamathin maiyappagudhiyil maariyamman kovil ulladhu.,indhagiraamathoda naduvulle maariyamman koyil irukku,indha village-ku naduvulle maariyamman koyil irukku
He went back to Tamil Nadu in 1863.,1863 மார்கழியில் மீண்டும் தமிழகம் சென்றார்.,1863 maargazhiyil meendum thamizhagam chendraar.,1863 maargazhi maasam parupadiyum  thamizhnaadu ponaar,1863 maargazhi maasam thirumba thamizhnaadu-ku ponaaru
The rain is coming at midnight.,மழை கொட்டித் தீர்த்த நள்ளிரவில் வருகிறான்.,mazhai kottith theertha nalliravil varugiraan.,mazha paenju onja naduraaththiri varaan,mazha paenju onja naduraaththiri varaan
What is the characteristic of survival?,இப்படி உயிர் வாழ்வது என்ன பண்பு?,ippadi uyir vaazhvadhu enna panbu?,ippadi pozhaikkarathu enna pazhakkam?,ippadi vazhndhu enna pazhakkam?
This is agility; The plants are eaten.,இவ்வினம் சுறுசுறுப்பானது; செடிகளை உண்ணும் குணமுடையது.,ivvinam churusuruppaanadhu; chedigalai unnum kunamudaiyadhu.,indha enam surusuruppa irukkum;seiyellam saappidum,"indha enam surusuruppa irukkum, chediyelaam saapidum"
There are two airports in Kuala Lumpur.,கோலாலம்பூரில் இரண்டு வானூர்தி நிலையங்கள் உள்ளன.,kolaalambooril irandu vaanoordhi nilaiyangal ullana.,kolalamboorle rendu vimaananilaiyam irukku,kolalamboorle rendu airport irukku
They worked in the fields and received a daily diet.,வயல்களில் வேலைசெய்து அன்றாட உணவைப் பெற்றார்கள்.,vayalgalil vaelaiseydhu andraada unavaip petraargal.,vayalile velai senju annadam saappuduvaanga,vayalle velai paathu anaiki saapu saapiduvanga
Only 70 of these are in the case today.,இவற்றில் 70 மட்டுமே இன்று வழக்கிலுள்ளது.,ivatril 70 mattumae indru vazhakkilulladhu.,idhule 70 mattumdhaan ippo pazhakkaththulle irukku,idhule 70 dhan ippo vazhakkaththule irukku
Waves are a deeply explored material by scientists.,அலைகள் விஞ்ஞானிகளால் ஆழ ஆராயப்பட்ட பொருள்.,alaigal vinynyaanigalaal aazha aaraayappatta porul.,alainga vinnanigalale adhigame aaraichi seyyappattadhu,alaingale scientist-aale adhigama aarachi seyyappattuchu
"Each of these is called ""tuition"".","இவை ஒவ்வொன்றும் ""சீர்"" என அழைக்கப்படுகின்றது.","ivai ovvondrum ""cheer"" ena azhaikkappadugindradhu.","idhu ovvonnum ""seer""-nu sollappadudhu","idhu ovvonnum ""seer""-nu solluvaanga"
So he received many enemies.,அதனால் அவர் பல எதிரிகளை பெற்றார்.,adhanaal avar pala edhirigalai petraar.,adanaale avaru neraiye ethiringala uruvaakittaar,adanaale avaru neraiye ethiringala uruvaakittaaru
This is the largest volume in the world.,இதுவே உலகிலேயே மிகப்பெரிய தொகுதியாகும்.,idhuvae ulagilaeyae migapperiya thogudhiyaagum.,idhudhaan ulagathiliye periya thogudhi,idhudhaan ulagathule periya thogudhi
Mosquitoes are not affected by this.,இதன் காரணத்தினால் கொசுக்கள் பாதிக்கப்படுவதில்லை.,idhan kaaranathinaal kosukkal paadhikkappaduvadhillai.,indha kaaranaththanaala  kosungalukku paathippille,idhu-naaladhan kosukkalukku onnum aaguradhile
Two of these classes are completely disappeared.,இவற்றில் இரண்டு வகுப்புகள் முற்றிலும் அற்றுப்போய்விட்டன.,ivatril irandu vaguppugal mutrilum atruppoyvittana.,idule rendu vaguppunga mulusaa azhinjupochu,idhule rendu class-um complete-aa ilaama poochu
This is where the famous spic fertilizer is located.,இங்குதான் பிரபல ஸ்பிக் உரத்தொழிற்சாலை உள்ளது.,ingudhaan pirabala sbik urathozhirchaalai ulladhu.,ingadhaan  pirabalamaana spic aalai irukku,inga dhan famous-aana spic factory irukku
It is a great magic that disappeared.,அது மறைந்ததோ பெரும் மாயமாக உள்ளது.,adhu maraindhadho perum maayamaaga ulladhu.,adhu maranjadhu periya athisayamaa irukku,adha kaanaamapoi periya adhisayamaa irukku
The Babylonian literature is still being practiced.,பாபிலோனிய இலக்கியங்கள் இன்றளவிலும் பயிலப்பட்டு வருகின்றன.,paabiloniya ilakkiyangal indralavilum payilappattu varugindrana.,pabiloniya ilakkiyanga innaikkum padikkappattuvarudhu,babiloniya ilakkiyangal-lam innaikum padikkuraanga
Especially not to eat the cow.,குறிப்பாக மாட்டை உண்ண வேண்டாம் என்கிறது.,kurippaaga maattai unna vaendaam engiradhu.,kurippa maattai saappida venangiradhu,mukkiyamaa maattai saapida venaangiraanga
Punjab has the best transport structure.,பஞ்சாப் சிறந்த போக்குவரத்துக் கட்டமைப்பைக் கொண்டுள்ளது.,panjaap chirandha pokkuvarathuk kattamaippaik kondulladhu.,puunjable saalaiyellam nallaa irukkum,punjable road-laam nallaam irukkum
Yaman is accepted as the God of death in Buddhism.,யமன் பௌத்தத்தில் இறப்பின் கடவுளாகவே ஏற்றுக்கொள்ளப்படுகிறார்.,yaman pauthathil irappin kadavulaagavae aetrukkollappadugiraar.,yeman buddha mathathile saavukkaduvula irukkaar,yeman buddha mathathule maranathin kadavulaa irukkaru
He is an Islamist,இவர் ஒரு இசுலாமியர் ஆவார்,ivar oru isulaamiyar aavaar,ivaru oru muslimu,ivaru oru muslimu
"In the event of death rituals, the scarf will not be struck.","மரணச் சடங்குகள் நிகழ்ந்தால், பறைமேளம் அடிப்பதில்லை.","maranach chadangugal nigazhndhaal, paraimaelam adippadhillai.",saavuveetulle kaariyam nadanthuchunne parai adikkamaattaanga,saavu veetle kaariyam nadakurappo parai adikkamaattanga
The song is the edit of the song composed by Sundaranar.,இப்பாடல் சுந்தரனார் இயற்றிய பாடலின் திருத்தமேயாகும்.,ippaadal chundharanaar iyatriya paadalin thiruthamaeyaagum.,indha paattu sundaranaar ezhudhuna pattoda thiruththam,indha paattu sundaranaar ezhudhuna pattoda thiruththam
Qatar was also released in September.,செப்டெம்பர் மாதத்தில் கத்தாரும் விடுதலை பெற்றது.,cheptembar maadhathil kathaarum vidudhalai petradhu.,september maasam kattarum suthanthiram vaangichi,september maasaththule kattarum viduthalaiyaachu
"In the later years, it is called Muthu Nagar.",பின்னாட்களில் முத்து நகர் என்று அழைக்கப்படுகிறது.,pinnaatkalil muthu nagar endru azhaikkappadugiradhu.,piinaadi muthu nagar-nu aachu,koncha naal apporam muthu nagar-nu sonnanga
She went to see the Lord.,அம்மையார் இறைவனைக் காணக் கயிலாயம் சென்றார்.,ammaiyaar iraivanaik kaanak kayilaayam chendraar.,andha amma saamiye paakka kailaasam ponanga,andha amma saamiye paakka kailaasam poitaanga
"He created the book ""Manioghi"".","""மணிமொழி"" என்னும் நூல்நிலையத்தை உருவாக்கினார்.","""manimozhi"" ennum noolnilaiyathai uruvaakkinaar.",manimozhi-ngra noolagaththai arambichaanga,manimozhi-ngra library arambichaaru
See personal articles for more information.,மேலும் தகவலுக்கு தனிப்பட்ட கட்டுரைகளைக் காண்க.,maelum thagavalukku thanippatta katturaigalaik kaanga.,mela adiga thagavalukku thaniye katturaingalai paarunga,inum neriye thagavalukku thaniye katturaingalai paarunga
He is widely worshiped in Tibet and Mongolia.,இவர் திபெத்திலும் மங்கோலியாவிலும் பரவலாக வணங்கப்படுகின்றார்.,ivar thibethilum mangoliyaavilum paravalaaga vanangappadugindraar.,ivaru tibeththuliyum mangoliyavuliyum adigamaa  kumbidapadaraar,ivaru tibet-thilaiyum mangoliya-layum adigamaa  kumbidapadaraaru
It belongs to the Kanchipuram Lok Sabha constituency.,இது காஞ்சிபுரம் மக்களவைத் தொகுதியில் அடங்கியுள்ளது.,idhu kaanjiburam makkalavaith thogudhiyil adangiyulladhu.,idhu kaanjipuram makkalavaithoguthiyile irukku,idhu kaanjipuram makkalavaithoguthiyile irukku
Potatoes can be cultivated in all the soil.,உருளைக்கிழங்கை வளமுள்ள எல்லா மண்ணிலும் பயிரிடலாம்.,urulaikkizhangai valamulla ellaa mannilum payiridalaam.,urulaikizhange nall irukkira ella mannuliyum vilaikkalaam,urulaikizhange nalla irukkura ella mannulayum valakkalaam
"Biomass will result in humanity. ""","உயிரியாயுதம் மனித இனத்திற்கே பெருங்கேடு விளைவிக்கும்.""","uyiriyaayudham manidha inathirkae perungaedu vilaivikkum.""",uyirayudham manusa kulathikke periye naasam pannum,uyirayudham manusa kulathikke periye aabaththu tharum
This sickness can not become.,இந்த உடம்பு ‘நான்’ ஆக முடியாது.,indha udambu ‘naan’ aaga mudiyaadhu.,"indha udambu ""Naan"" avadhu","indha udambu ""Naan"" aaga mudiyaadhu"
This is not accepted by some researchers.,இது சில ஆய்வாளர்களால் ஒத்துக்கொள்ளபடுவது இல்லை.,idhu chila aayvaalargalaal othukkollabaduvadhu illai.,idhu sila arachiyaalarkalale oththukkapadaradhu illai,idhu sila arachiyaalarkalale oththukkapadaradhu illai
There are three stations in Salem.,சேலத்தில் மூன்று தொடருந்து நிலையங்கள் உள்ளன.,chaelathil moondru thodarundhu nilaiyangal ullana.,salethule moonu railway station irukku,salemle moonu railway station irukku
Some plays were successful at this time.,இந்நேரத்தில் சில நாடகங்கள் வெற்றி பெற்றன.,innaerathil chila naadagangal vetri petrana.,indhanerathile sila nadagankal nalla odichi,indha nerathule sila naadagankalaam nalla oduchi
His songs are in Tamil.,இவர் இயற்றிய பாடல்கள் தமிழில் உள்ளன.,ivar iyatriya paadalgal thamizhil ullana.,ivaru ezhuthuna paatunga tamizhilile irukku,ivaru ezhuthuna paatulaam thamille irukku
It can also be referred to as a social network.,இதனை சமூக வலை எனவும் கூறலாம்.,idhanai chamooga valai enavum kooralaam.,idhai samooga valai appadeenu sollalaam,idha social net-nu sollalam
"The British called this ""Trooy of the East.""","பிரித்தானியர் இதனைக் ""கிழக்கின் ட்ரோய்"" என்றனர்.","pirithaaniyar idhanaik ""kizhakkin troy"" endranar.","english-kaaranga idhai ""kizhakkin troy""  appadeenu sonnaanga","British-kaaranga idha ""kizhakkin troy""  appadeenu soluvaanga"
Its headquarters are in Guntur.,இதன் தலைமையகம் குண்டூர் நகரில் உள்ளது.,idhan thalaimaiyagam kundoor nagaril ulladhu.,ithoda thalamaiyedam kundoorle irukku,idhoda head office kundoorle irukku
It has been put on the other days.,அது போன்றே மற்ற நாட்களுக்கும் போடப்பட்டுள்ளது.,adhu pondrae matra naatkalukkum podappattulladhu.,idhu polave maththaa naalukkum potturukku,adhu maariye maththaa naalukkum pottruku
Ayya ​​offered many teachings to the people.,அய்யா மக்களுக்கு பல போதனைகளை வழங்கினார்.,ayyaa makkalukku pala podhanaigalai vazhanginaar.,ayya makkalukku neraiye arivuraingale sonnaar,ayya makkalukku neraiye arivuraigale sonnaaru
Mahavishnu is the combined form of Uma and Sankara.,உமாவும் சங்கரரும் இணைந்த வடிவம் மகாவிஷ்ணு.,umaavum changararum inaindha vadivam magaavishnu.,umavum sankaranum serndha uruvam perumal,umavum sankaranum serndha uruvam perumal
He will call it Thangapasam.,இதனை தங்கபஸ்பம் என்று கூறுவார் .,idhanai thangabasbam endru kooruvaar .,idhai thangapaspam appadeenu solluvaanga,idhai thangapaspam-nu solluvaanga
The term is not used greatly in today.,இன்றைய தினத்தில் இச்சொல் பெரிதாக பயன்படுத்தப்படுவதில்லை.,indraiya thinathil ichol peridhaaga payanbaduthappaduvadhillai.,ippoellam indha vaarthe perusaa payanpattule ille,ippolaam indha vaarthe perusaa pesuradhile
"The maximum depth of the sea is 4,694 meters.","இக்கடலின் அதிகபட்ச ஆழம் 4,694 மீட்டர்.","ikkadalin adhigabatcha aazham 4,694 meettar.",indha kadaloda adhigapatcha aazhalam 4694 meter,indha kadaloda adhigapatcha aazhalam 4694 meter
Earthquakes occur in all parts of the Earth.,புவியின் அனைத்துப் பகுதிகளிலும் நிலநடுக்கங்கள் ஏற்படுகின்றன.,puviyin anaithup pagudhigalilum nilanadukkangal aerpadugindrana.,boomiyoda ella idathiliyum nilanadukkangal varudhu,boomile irukka ella idathulaiyum nilanadukam varudhu
Medina is a holy city of Muslims.,மதீனா முஸ்லிம்களின் புனித நகராக விளங்குகிறது.,madheenaa muslimgalin punidha nagaraaga vilangugiradhu.,madhina muslimkaloda punidha idame irukku,madhinaa muslim-oda punidhamaana idam
934 were eligible to vote.,இதன் போது 934 வாக்களிக்க தகுதிபெற்றிருந்தனர்.,idhan podhu 934 vaakkalikka thagudhibetrirundhanar.,appodhu 934 peru ottupoda thagudhiyanavanga,appo 934 peru ottu poda thagudhiyanavanga
This is the largest city of the country.,இதுவே இந்நாட்டின் பெரிய நகரமும் ஆகும்.,idhuvae innaattin periya nagaramum aagum.,idhudhaan indha naattoda periye  ooru,idhudhaan indha naattoda periye ooru
Kuberan is Ravana's half -brother.,குபேரன் இராவணனின் ஒன்றுவிட்ட அண்ணன் ஆவார்.,kubaeran iraavananin ondruvitta annan aavaar.,kuberan ravananoda onnuvitte annan,kuberan ravananoda onnuvitte annan
"In his mind, Advaita is true.",அவருடைய மனதிற்குள் அத்வைதம்தான் கடைநிலை உண்மை.,avarudaiya manadhirkul athvaidhamdhaan kadainilai unmai.,avaroda manasule advaidhamthaan kadaisi unmai,avaroda manasule advaidhamthaan kadaisi unmai
